Disease,Patient_Count,Severity_Score,PPEkits,Beds,Doctors,Ventilator,Oxygen Cylinder
Sepsis,494,3,42,81,12,6,36
Stroke,145,4,396,108,20,16,112
Heart_Failure,319,2,80,60,10,2,40
Heart_Failure,354,3,276,87,9,0,48
Stroke,431,4,220,132,20,4,100
Stroke,219,2,152,26,14,8,28
Stroke,437,2,168,38,8,0,42
Sepsis,417,3,273,36,21,3,33
Stroke,124,4,144,140,24,16,108
Sepsis,316,1,70,31,8,3,21
Sepsis,224,2,50,40,2,0,52
Covid,158,4,40,184,4,12,116
Stroke,246,1,50,32,7,0,20
Covid,430,2,112,10,8,8,50
Pneumonia,348,1,47,30,4,2,8
Heart_Failure,130,3,180,81,9,0,39
Heart_Failure,363,4,196,184,12,8,100
Stroke,168,2,56,92,14,6,24
Heart_Failure,411,1,42,32,2,1,21
Sepsis,251,2,60,16,6,8,36
Pneumonia,328,1,38,24,9,3,24
Covid,230,4,156,132,20,16,100
Stroke,347,2,84,88,6,8,56
Sepsis,339,4,360,20,16,4,36
Pneumonia,227,4,344,192,8,0,92
Severe_Trauma,250,3,93,48,24,9,33
Sepsis,491,3,261,144,27,6,72
Stroke,219,2,108,74,12,8,26
Sepsis,284,4,360,48,32,12,44
Sepsis,214,2,64,32,16,0,16
Heart_Failure,52,4,192,24,12,0,44
Pneumonia,84,1,15,47,4,2,13
Stroke,287,2,180,60,14,4,24
Severe_Trauma,267,1,20,12,8,0,11
Sepsis,59,2,118,60,6,8,24
Heart_Failure,419,1,57,47,4,4,27
Severe_Trauma,485,2,162,16,2,4,52
Severe_Trauma,122,3,192,30,12,3,24
Stroke,385,4,216,24,36,0,76
Severe_Trauma,273,2,154,80,18,0,48
Severe_Trauma,457,2,88,86,6,8,36
Sepsis,405,4,168,172,28,8,88
Pneumonia,217,2,180,48,12,4,46
Severe_Trauma,183,1,39,42,2,0,27
Stroke,433,2,196,60,8,6,30
Covid,322,1,34,23,9,1,16
Stroke,122,4,268,20,8,4,88
Stroke,223,2,104,30,14,0,16
Stroke,491,3,225,36,27,12,33
Severe_Trauma,269,2,138,62,10,8,24
Pneumonia,117,4,40,172,20,0,92
Pneumonia,440,2,46,86,12,6,40
Sepsis,182,3,102,132,15,9,45
Severe_Trauma,311,3,279,42,9,12,60
Sepsis,427,1,31,37,1,4,5
Sepsis,127,1,85,31,6,0,12
Stroke,430,4,76,164,24,0,28
Severe_Trauma,473,3,285,117,27,6,33
Sepsis,153,1,54,15,3,0,26
Heart_Failure,68,3,192,114,9,6,39
Covid,281,3,279,108,24,9,42
Severe_Trauma,206,4,372,116,12,8,60
Pneumonia,328,1,77,45,1,2,22
Heart_Failure,297,1,50,24,7,3,24
Sepsis,120,4,348,60,8,0,68
Severe_Trauma,259,2,102,40,16,8,58
Pneumonia,248,3,84,21,12,0,27
Sepsis,498,2,142,44,12,2,50
Sepsis,140,3,201,21,9,0,66
Covid,263,2,160,86,6,4,38
Covid,244,2,80,54,2,4,54
Sepsis,321,1,96,47,6,0,11
Severe_Trauma,447,2,112,70,16,0,50
Covid,281,4,264,180,16,12,88
Sepsis,64,4,348,152,32,16,104
Stroke,310,4,224,188,28,12,20
Stroke,83,3,240,75,6,6,33
Stroke,70,1,21,47,2,3,26
Severe_Trauma,466,4,224,60,20,16,28
Stroke,72,1,47,48,8,0,17
Stroke,169,4,176,100,28,12,84
Pneumonia,54,4,196,36,20,12,76
Sepsis,180,2,116,42,8,4,46
Pneumonia,143,1,38,49,7,0,24
Severe_Trauma,207,1,67,40,4,3,14
Sepsis,135,1,95,35,2,1,22
Stroke,287,1,66,26,8,1,25
Stroke,481,3,84,30,9,6,45
Heart_Failure,93,3,135,84,21,12,51
Severe_Trauma,87,1,13,14,5,4,16
Covid,317,2,90,64,10,0,12
Pneumonia,240,4,104,148,4,8,72
Covid,359,1,67,29,9,3,9
Pneumonia,285,3,204,126,3,6,21
Heart_Failure,168,1,24,10,4,2,18
Pneumonia,314,3,105,21,6,0,87
Severe_Trauma,371,4,248,128,12,0,96
Heart_Failure,302,3,120,138,27,9,24
Pneumonia,280,2,52,14,10,2,18
Covid,58,2,60,64,6,4,44
Pneumonia,475,3,237,54,9,6,18
Stroke,284,4,260,92,36,12,20
Heart_Failure,417,1,96,26,3,3,22
Covid,95,4,192,36,24,4,28
Pneumonia,443,4,364,168,8,0,44
Sepsis,76,2,172,42,4,8,10
Sepsis,294,3,288,147,21,3,72
Severe_Trauma,316,1,39,30,7,3,21
Pneumonia,261,3,264,18,9,9,63
Covid,313,3,93,18,15,6,42
Heart_Failure,306,2,30,84,8,0,10
Pneumonia,206,4,224,24,32,4,60
Heart_Failure,64,3,117,72,12,3,81
Covid,475,1,56,42,6,2,14
Stroke,306,1,84,29,6,2,26
Covid,72,1,81,17,9,0,6
Pneumonia,290,1,60,46,3,3,10
Pneumonia,137,4,324,92,20,8,88
Covid,412,3,264,105,21,6,21
Heart_Failure,206,2,168,40,2,4,24
Severe_Trauma,386,3,186,114,9,3,33
Stroke,289,4,176,32,36,4,112
Severe_Trauma,343,4,272,156,8,12,92
Sepsis,236,3,288,33,9,6,63
Pneumonia,356,4,80,28,20,8,20
Covid,349,2,52,90,4,4,40
Heart_Failure,450,4,88,88,8,12,96
Stroke,463,2,48,52,10,4,12
Severe_Trauma,233,4,40,92,28,16,64
Sepsis,195,3,231,57,6,0,63
Severe_Trauma,417,4,52,76,28,0,96
Sepsis,194,1,71,30,3,0,8
Pneumonia,321,4,308,36,12,8,84
Stroke,432,4,124,124,24,4,44
Covid,353,3,216,63,15,9,30
Severe_Trauma,459,3,192,24,21,3,57
Severe_Trauma,155,2,90,14,10,0,24
Severe_Trauma,139,2,40,76,10,6,20
Heart_Failure,225,4,220,184,8,0,48
Covid,135,1,40,34,1,3,6
Severe_Trauma,227,4,116,168,32,8,24
Severe_Trauma,488,2,180,10,18,8,46
Sepsis,350,2,164,92,14,0,16
Sepsis,229,1,53,33,6,3,11
Severe_Trauma,406,1,28,6,8,3,5
Pneumonia,360,1,73,33,3,1,19
Sepsis,299,4,116,60,4,12,72
Heart_Failure,68,3,279,27,27,3,21
Heart_Failure,404,4,260,28,36,16,80
Covid,187,4,112,168,8,4,20
Pneumonia,306,1,78,5,5,4,18
Covid,440,3,186,42,18,12,51
Heart_Failure,161,3,60,30,3,0,69
Stroke,177,4,192,124,8,0,52
Stroke,87,4,136,132,12,16,20
Covid,427,4,248,104,32,0,96
Heart_Failure,131,4,144,128,32,12,44
Pneumonia,249,2,194,58,6,4,36
Stroke,447,3,204,63,9,0,48
Covid,495,3,195,48,6,6,78
Pneumonia,139,3,111,120,21,6,66
Stroke,418,4,276,100,32,4,108
Sepsis,55,2,64,70,10,6,12
Heart_Failure,277,3,93,54,9,6,21
Pneumonia,201,3,267,21,24,3,78
Covid,298,1,44,9,6,4,15
Covid,62,3,213,78,27,6,30
Stroke,213,2,192,14,2,8,40
Stroke,131,1,96,6,7,0,10
Sepsis,213,2,116,38,16,0,20
Heart_Failure,329,1,93,44,3,4,14
Stroke,455,1,90,8,6,3,13
Sepsis,217,1,93,10,4,2,14
Stroke,70,3,48,120,24,3,57
Heart_Failure,416,3,57,66,15,9,63
Sepsis,98,2,146,32,14,8,54
Covid,483,4,76,108,4,16,60
Stroke,494,3,246,93,3,9,21
Stroke,58,4,360,68,12,0,56
Pneumonia,159,4,336,100,20,8,64
Stroke,55,3,69,93,15,3,21
Sepsis,96,4,68,160,20,4,24
Heart_Failure,455,4,84,104,28,12,20
Stroke,106,2,34,20,4,6,50
Heart_Failure,325,4,336,84,8,8,48
Covid,363,4,164,124,16,4,64
Sepsis,93,1,29,23,1,4,24
Pneumonia,95,4,368,148,20,16,96
Covid,116,4,380,128,32,12,80
Heart_Failure,443,3,105,117,18,12,66
Severe_Trauma,140,1,17,33,3,2,25
Covid,222,1,37,24,2,0,8
Heart_Failure,332,2,20,64,10,2,16
Heart_Failure,215,1,95,35,3,4,20
Covid,136,4,100,124,8,12,80
Severe_Trauma,392,1,89,7,3,4,20
Heart_Failure,307,4,40,88,8,12,48
Severe_Trauma,363,1,54,14,5,1,6
Sepsis,231,2,54,16,10,4,38
Pneumonia,370,4,140,96,8,8,84
Stroke,228,2,146,66,6,6,22
Severe_Trauma,269,2,50,16,16,2,54
Pneumonia,494,2,40,76,16,4,30
Covid,258,3,174,102,6,9,24
Covid,415,1,20,43,3,1,25
Pneumonia,229,2,150,60,12,2,38
Pneumonia,333,2,170,28,6,8,20
Covid,348,3,66,42,9,0,60
Sepsis,460,4,328,132,20,12,88
Stroke,251,2,156,10,18,0,18
Sepsis,413,3,201,108,3,9,21
Pneumonia,154,2,130,24,18,6,54
Covid,130,2,28,68,4,0,26
Sepsis,159,4,136,144,24,12,48
Severe_Trauma,335,2,42,78,12,0,40
Severe_Trauma,286,1,59,35,5,4,7
Severe_Trauma,61,2,92,34,18,8,12
Severe_Trauma,255,1,48,28,3,4,12
Heart_Failure,358,3,42,51,15,9,36
Stroke,243,3,267,84,27,6,66
Sepsis,107,3,54,93,9,12,36
Stroke,58,4,360,136,12,8,20
Pneumonia,456,4,184,176,36,8,20
Severe_Trauma,498,1,41,43,9,4,19
Heart_Failure,364,4,88,48,8,8,40
Covid,110,1,47,9,1,4,16
Severe_Trauma,325,2,184,78,8,6,12
Sepsis,330,2,154,72,2,8,46
Sepsis,334,3,153,87,18,6,69
Stroke,100,2,196,92,12,2,24
Severe_Trauma,329,4,280,96,28,4,32
Stroke,160,3,177,30,12,3,39
Severe_Trauma,276,2,78,20,14,6,58
Severe_Trauma,458,1,82,42,3,1,21
Covid,227,3,78,141,18,12,72
Stroke,488,3,180,15,6,3,63
Sepsis,144,3,276,24,6,12,18
Heart_Failure,362,3,252,129,27,0,54
Pneumonia,67,3,222,141,12,6,69
Stroke,433,4,344,192,12,0,32
Sepsis,289,3,72,144,3,6,33
Sepsis,336,2,34,40,6,8,26
Stroke,409,4,144,188,4,4,104
Heart_Failure,72,3,48,123,6,3,57
Severe_Trauma,344,1,49,15,4,3,11
Sepsis,114,4,160,184,4,0,84
Severe_Trauma,335,1,69,14,8,1,27
Stroke,141,3,177,120,21,3,72
Severe_Trauma,224,3,180,108,15,3,72
Pneumonia,257,2,72,80,2,2,40
Severe_Trauma,497,4,396,116,28,0,44
Heart_Failure,163,1,70,43,7,2,6
Sepsis,64,1,23,19,5,2,16
Heart_Failure,202,4,380,184,4,0,96
Severe_Trauma,405,3,138,57,12,12,69
Sepsis,455,4,248,168,16,16,88
Sepsis,178,4,60,72,28,12,40
Heart_Failure,80,4,72,132,20,8,40
Severe_Trauma,474,3,69,135,15,9,24
Heart_Failure,328,2,84,94,18,4,20
Stroke,364,2,144,92,14,0,18
Heart_Failure,316,4,348,140,20,4,24
Pneumonia,208,1,39,21,5,0,22
Covid,477,3,285,132,6,12,60
Severe_Trauma,484,1,50,44,3,1,20
Severe_Trauma,281,2,170,50,10,2,44
Heart_Failure,396,4,288,84,32,0,108
Sepsis,366,1,96,18,5,0,23
Severe_Trauma,340,4,292,156,32,0,88
Sepsis,267,1,18,18,2,3,16
Severe_Trauma,234,4,80,92,20,8,60
Severe_Trauma,372,4,196,156,12,16,40
Pneumonia,325,3,57,60,18,6,45
Heart_Failure,285,1,60,48,5,3,8
Sepsis,390,2,24,64,18,4,36
Severe_Trauma,260,2,114,12,14,4,22
Sepsis,108,3,207,48,27,3,60
Heart_Failure,494,2,172,66,10,4,30
Pneumonia,433,2,54,32,4,0,46
Stroke,287,3,288,99,24,12,39
Covid,375,2,26,36,10,0,48
Pneumonia,268,2,108,62,12,0,42
Severe_Trauma,334,1,88,16,2,3,5
Sepsis,362,4,88,48,8,4,80
Heart_Failure,305,4,124,72,32,12,84
Heart_Failure,392,2,134,10,2,8,44
Sepsis,173,1,94,6,3,4,24
Heart_Failure,79,3,249,84,21,0,78
Stroke,154,2,138,46,14,8,42
Severe_Trauma,460,3,258,135,24,9,18
Heart_Failure,314,1,51,49,6,4,6
Covid,365,4,292,128,36,16,20
Severe_Trauma,147,4,348,164,12,4,56
Heart_Failure,389,1,31,8,7,3,11
